ZIP,Place,State,Longitude,Latitude,Longitude_Projected,Latitude_Projected
00501,Holtsville,NY,-73.0451,40.8154,807.2440035744719,171.49690340183906
00544,Holtsville,NY,-73.0451,40.8154,807.2440035744719,171.49690340183906
01001,Agawam,MA,-72.6227,42.0702,807.2383337164329,147.16251106698826
01002,Amherst,MA,-72.4646,42.3671,807.9805145162672,141.218640949004
01003,Amherst,MA,-72.5248,42.3919,807.0664614439929,140.9685984318237
01004,Amherst,MA,-72.5132,42.3845,807.2546092685325,141.06460613653974
01005,Barre,MA,-72.1084,42.4097,812.512686611816,139.23741956836602
01007,Belchertown,MA,-72.411,42.2751,809.1176364408228,142.7149358167859
01008,Blandford,MA,-72.9361,42.1829,802.5429210035172,146.14887491525565
01009,Bondsville,MA,-72.3405,42.2061,810.3751703556892,143.73422747887548
01010,Brimfield,MA,-72.1885,42.1165,812.8164446121008,144.85034475647626
01011,Chester,MA,-72.9888,42.2794,801.4047870181569,144.56123163450468
01012,Chesterfield,MA,-72.8256,42.3923,803.0664601909068,141.96268786099256
01013,Chicopee,MA,-72.6079,42.1487,807.0762641913491,145.68114760500976
01014,Chicopee,MA,-72.6048,42.1707,807.0168004890068,145.26954093070287
01020,Chicopee,MA,-72.5761,42.1764,807.3732603696732,145.06940747532167
01021,Chicopee,MA,-72.6048,42.1707,807.0168004890068,145.26954093070287
01022,Chicopee,MA,-72.5544,42.1934,807.5844499187962,144.68662560439623
01026,Cummington,MA,-72.9202,42.4633,801.4875038270058,140.97958862990947
01027,Easthampton,MA,-72.669,42.2668,805.7217092081171,143.73154226257475
01028,East Longmeadow,MA,-72.5056,42.0672,808.8153843810006,146.82374317527297
01029,East Otis,MA,-73.0517,42.1909,800.9644931235655,146.38364394196742
01030,Feeding Hills,MA,-72.6751,42.0718,806.531343953083,147.30876985982377
01031,Gilbertville,MA,-72.1986,42.3322,811.6767731007692,140.95562618972383
01032,Goshen,MA,-72.7995,42.4404,803.1949823085461,140.99896648030108
01033,Granby,MA,-72.52,42.2557,807.7563822519844,143.4352885631589
01034,Granville,MA,-72.952,42.1127,802.6477814088902,147.48281270577934
01035,Hadley,MA,-72.5715,42.3606,806.5895142311838,141.69549330013535
01036,Hampden,MA,-72.4318,42.0648,809.8114605967656,146.61851996996006
01037,Hardwick,MA,-72.2253,42.3479,811.2489506130185,140.76035803410264
01038,Hatfield,MA,-72.6167,42.3844,805.8796146865152,141.4126213906286
01039,Haydenville,MA,-72.7032,42.3818,804.7416521322539,141.74821611664981
01040,Holyoke,MA,-72.6262,42.202,806.5882066734973,144.7703520752617
01041,Holyoke,MA,-72.6162,42.2043,806.7109374563202,144.6949498771462
01050,Huntington,MA,-72.8733,42.2653,803.0073897758296,144.437525249592
01053,Leeds,MA,-72.7034,42.3543,804.8644418645797,142.2503854806556
01054,Leverett,MA,-72.4993,42.4682,807.0542397066117,139.49255914724506
01056,Ludlow,MA,-72.471,42.1728,808.7906051792233,144.78182703342134
01057,Monson,MA,-72.3196,42.101,811.1407892520068,145.57875371043156
01059,North Amherst,MA,-72.5309,42.4104,806.9004120292242,140.6518263234268
