lat,lon
-77.3559,38.0145
-77.3743,38.3857
-76.3542,37.8687
-77.8719,38.3446
-76.5732,37.9773
-76.9614,37.9826
-76.7548,37.7929
-76.9719,38.0214
-76.7903,38.1218
-76.9959,38.1792
-77.4082,38.1718
-77.0429,38.3375
-77.1726,38.2711
-76.8475,37.8527
-76.4051,37.8523
-76.605,37.874
-77.4612,38.4684
-76.6616,38.0573
-77.5814,38.3993
-76.6367,37.9505
-76.4178,37.9072
-77.0633,38.0329
-76.416,37.6645
-77.1726,38.2711
-76.382,37.7162
-77.126,38.2811
-76.5855,38.0505
-77.5593,38.0159
-76.5002,37.7395
-76.7117,37.7681
-76.5118,37.7572
-77.7709,38.3352
-77.0485,38.0789
-76.5018,37.9792
-76.5096,37.7503
-77.3185,38.0058
-76.5781,37.7503
-76.7828,38.1105
-76.6093,37.7928
-76.6805,38.1182
-77.1726,38.2711
-76.4099,37.7132
-76.6861,38.0181
-76.2934,37.9094
-77.6586,38.0641
-77.1837,38.1621
-77.2502,38.2079
-76.2829,37.857
-77.923,38.2863
-77.1726,38.2711
-77.543,38.5086
-77.4714,37.9451
-77.1726,38.2711
-76.7008,37.824
-77.6854,38.162
-77.2251,38.0094
-77.6447,38.271
-77.4306,38.4586
-77.4608,38.4173
-77.5102,38.4718
-76.7903,38.1218
-76.9125,37.9146
-77.5189,38.1372
-77.9193,38.2383
-76.6154,37.9472
-76.7665,37.9695
-76.4313,37.6847
-76.5503,38.0673
-76.3616,37.6886
-76.3636,37.8025
-77.4399,38.0847
-76.7903,38.1218
-78.1827,39.1858
-78.269,39.1501
-78.1989,39.264
-78.1686,39.1676
-78.2757,38.8187
-77.9688,39.1532
-78.0203,39.0698
-78.0664,39.2543
-78.1412,38.8537
-78.0988,39.2655
-78.3081,39.3744
-78.4038,38.9834
-78.0756,38.7337
-78.1796,38.9268
-78.3417,39.2887
-77.9949,38.8273
-78.1165,38.8129
-78.3913,39.0808
-78.0478,38.8812
-78.0019,38.904
-78.4658,38.9441
-78.2815,39.0367
-77.9901,39.1219
-78.2478,39.0048
-78.3873,38.7564
-78.4276,38.8407
-78.4343,39.0908
-78.1907,39.0834
-78.0941,39.1973
-78.3386,38.9884
-78.4331,38.9476
-78.1105,39.058
-78.5217,38.887
-77.9928,38.5117
-78.2366,38.3256
-78.2678,38.4285
-77.7561,38.5453
-78.1423,38.5382
-77.9037,38.511
-78.1698,38.4114
-78.1208,38.6032
-77.817,38.4652
-78.2638,38.5095
-77.6423,38.4725
-78.2678,38.4285
-78.3828,38.3549
-77.9069,38.6256
-78.2678,38.4285
-77.83,38.3956
-78.2976,38.37
-77.7127,38.5671
-78.0105,38.3744
-78.1628,38.3674
-78.2573,38.3366
-78.1899,38.3146
-78.0476,38.3392
-77.8037,38.5309
-78.1572,38.4604
-77.7195,38.3924
-78.0282,38.5852
-78.3042,38.3215
-77.5956,38.5059
-78.2466,38.6203
-77.8842,38.4441
-77.7044,38.4674
-78.3229,38.4972
-78.0258,38.6457
-78.1566,38.7078
-78.3805,38.3727
-78.1739,38.6482
-78.8714,38.4489
-78.8179,38.4905
-78.8325,38.469
-78.8742,38.4409
-78.7776,38.8089
-78.9668,38.7925
-78.9937,38.3859
-78.7875,38.6083
-78.9974,38.7497
-79.085,38.4707
-78.6003,38.8432
-78.6321,38.4025
-78.9358,38.6339
-79.0885,38.5689
-78.7499,38.4659
-78.8552,38.5284
-78.8961,38.5557
-78.4596,38.6548
-78.7411,38.3712
-78.8957,38.3457
-78.6803,38.7857
-79.1028,38.3328
-78.6714,38.6606
-78.8111,38.7937
-78.7795,38.375
-78.7213,38.7201
-78.8914,38.3847
-78.609,38.501
-78.9227,38.5574
-78.5093,38.566
-78.7717,38.6476
-78.5611,38.0936
-78.4805,38.0266
-78.4924,38.0339
-78.4851,38.0401
-78.4482,38.0245
-78.4851,38.0401
-78.4085,38.0995
-78.841,37.9626
-78.9479,37.6902
-78.3098,38.2095
-78.7271,38.0013
-78.7127,37.908
-78.7106,38.1296
-78.5578,38.2705
-78.4919,38.1578
-78.6106,37.8125
-78.7565,37.8475
-78.9929,38.0964
-78.5849,38.1944
-78.1815,38.1759
-78.7833,38.0415
-78.5958,38.0654
-78.5699,37.856
-78.3396,38.0531
-78.1229,38.3572
-78.8684,37.7924
-78.9361,37.9744
-78.1768,38.227
-78.9004,37.902
-78.6351,37.9336
-78.0461,38.2192
-78.3386,37.8931
-78.9591,37.8036
-78.475,38.3301
-78.9712,37.8077
-78.4074,38.2586
-78.6925,37.7976
-78.8105,37.76
-78.2394,38.1997
-78.482,38.3121
-78.2535,37.9636
-79.0693,37.8391
-78.9035,38.0774
-78.6189,38.1799
-78.1225,38.2912
-76.426,37.2882
-77.9841,37.3428
-76.6016,37.4323
-78.3889,37.6714
-77.4784,37.7395
-77.1885,37.8221
-76.8321,37.4617
-77.8881,37.7338
-77.6308,37.9038
-76.5084,37.4182
-76.3614,37.3905
-78.2672,37.7453
-76.9402,37.7801
-77.7966,37.8984
-76.3616,37.4128
-78.1389,37.6479
-77.1082,37.3663
-76.4476,37.5984
-76.6629,37.675
-76.3863,37.4959
-78.1794,37.7147
-77.794,37.6718
-78.2581,37.5019
-76.3468,37.5549
-76.2629,37.4296
-77.5125,37.8417
-76.454,37.5001
-78.2355,37.7715
-76.3849,37.4529
-77.4161,37.5313
-77.5544,37.7284
-77.534,37.6628
-76.5464,37.4126
-76.4959,37.2585
-78.0112,37.7688
-76.3,37.4961
-77.9375,37.7982
-76.2886,37.5043
-77.9899,37.8252
-76.3402,37.4937
-77.3216,37.7701
-76.3844,37.5512
-76.4769,37.5594
-76.4905,37.2916
-77.3226,37.5437
-76.3089,37.4766
-76.689,37.73
-76.7833,37.2235
-78.104,37.3176
-78.1208,37.8942
-76.8413,37.7065
-77.0998,37.7202
-76.9027,37.4194
-76.4456,37.2359
-76.8255,37.6642
-76.4984,37.5826
